Player Name,Team,Event,Price
Skylar Killough-Wilhelm,Kentucky (SEC),VT,4000.0
Sloane Blakely,Florida (SEC),VT,4000.0
Sophia Bell,Auburn (SEC),VT,4000.0
Sophia Diaz,Michigan (Big Ten),VT,4000.0
Sydney Gonzales,Oregon State (Pac-12),VT,4000.0
TaeLyn Canty,North Carolina (ACC),VT,4000.0
Tory Vetter,Ohio State (Big Ten),VT,4000.0
Trinity Brown,Clemson (ACC),VT,4000.0
Ady Wahl,Georgia (SEC),VT,3000.0
Ainsley Greever,Arizona (Big 12),VT,3000.0
Alexia Mouyenga,Washington (Big Ten),VT,3000.0
Alysen Fears,Arizona (Big 12),VT,3000.0
Amanda Hargraves,Denver (Big 12),VT,3000.0
Anya Pilgrim,Florida (SEC),VT,3000.0
Bella Salcedo,Penn State (Big Ten),VT,3000.0
Brooklyn Moors,UCLA (Big Ten),VT,3000.0
Carly Bauman,Michigan (Big Ten),VT,3000.0
Cecily Rizo,Kentucky (SEC),VT,3000.0
Claire Dean,Stanford (ACC),VT,3000.0
Csenge Bácskay,Georgia (SEC),VT,3000.0
Dakota Essenpries,Arkansas (SEC),VT,3000.0
Danie Ferris,Florida (SEC),VT,3000.0
Ellie Cacciola,Southern Utah (WAC),VT,3000.0
Emily Lee,UCLA (Big Ten),VT,3000.0
Emily White,Arizona State (Big 12),VT,3000.0
Emma Spence,Nebraska (Big Ten),VT,3000.0
Gabi Ortiz,Michigan State (Big Ten),VT,3000.0
Grace McCallum,Utah (Big 12),VT,3000.0
Halle Gregoire,Arizona State (Big 12),VT,3000.0
Jahzara Ranger,Michigan (Big Ten),VT,3000.0
Jaime Dugan,Stanford (ACC),VT,3000.0
Jaye Mack,Illinois State (MIC),VT,3000.0
Jaylene Gilstrap,Utah (Big 12),VT,3000.0
Jessica Johanson,Penn State (Big Ten),VT,3000.0
Jocelyn Moore,Missouri (SEC),VT,3000.0
Jordyn Paradise,Alabama (SEC),VT,3000.0
Kaitlin Garcia,Oregon State (Pac-12),VT,3000.0
Kaitlyn Grimes,Ohio State (Big Ten),VT,3000.0
Karlie Chavez,Oregon State (Pac-12),VT,3000.0
Katelyn Jong,Auburn (SEC),VT,3000.0
Kaylyn Mintz,Ohio State (Big Ten),VT,3000.0
Kristina Shchennikova,Boise State (Mountain West Conference),VT,3000.0
Lali Dekanoidze,North Carolina (ACC),VT,3000.0
Lauren Macpherson,Missouri (SEC),VT,3000.0
Lilly Tubbs,Washington (Big Ten),VT,3000.0
Love Birt,Alabama (SEC),VT,3000.0
Lucy Stanhope,Nebraska (Big Ten),VT,3000.0
Ly Bui,Florida (SEC),VT,3000.0
Macy McGowan,UCLA (Big Ten),VT,3000.0
Maddie Johnston,Penn State (Big Ten),VT,3000.0
Madelyn Williams,California (ACC),VT,3000.0
Marissa Jencks,Minnesota (Big Ten),VT,3000.0
McKenna Carnesi,Washington (Big Ten),VT,3000.0
Mila Brusch,Denver (Big 12),VT,3000.0
Mya Wiley,California (ACC),VT,3000.0
