GymnastID,Event,pred_score,pred_prob,Player Name,Team,Price
30961,UB,9.8215974087549,0.8016999414883068,Carly Bauman,Michigan,6250.0
30964,BB,9.775476643355281,0.8016999414883068,Jenna Mulligan,Michigan,3000.0
30964,VT,9.81772001596709,0.8016999414883068,Jenna Mulligan,Michigan,4000.0
30968,FX,9.813060924050966,0.8016999414883068,Delanie Harkness,Michigan State,3000.0
30968,UB,9.792134003882968,0.8016999414883068,Delanie Harkness,Michigan State,4000.0
30970,BB,9.835576942329876,0.8016999414883068,Giana Kalefe,Michigan State,4000.0
30973,FX,9.85330658275483,0.6907092803501199,Mya Hooten,Minnesota,6250.0
30973,UB,9.793438663770207,0.7502966790414628,Mya Hooten,Minnesota,4000.0
30973,VT,9.850124271396012,0.7502966790414628,Mya Hooten,Minnesota,5000.0
30975,BB,9.769029088284793,0.7502966790414628,Emily Koch,Minnesota,2000.0
30975,FX,9.835575748072978,0.6907092803501199,Emily Koch,Minnesota,4000.0
30977,UB,9.777676376913295,0.7502966790414628,Kyra Burns,Missouri,4000.0
31009,BB,9.80743947391157,0.8016999414883068,Audrey Davis,Oklahoma,6250.0
31009,FX,9.835716644463371,0.8016999414883068,Audrey Davis,Oklahoma,5000.0
31009,UB,9.845158261896676,0.8016999414883068,Audrey Davis,Oklahoma,6250.0
31027,BB,9.757126854828144,0.8016999414883068,Maddie Johnston,Penn State,3000.0
31027,UB,9.753183746772732,0.8016999414883068,Maddie Johnston,Penn State,3000.0
31027,VT,9.811526740655736,0.8016999414883068,Maddie Johnston,Penn State,3000.0
31085,BB,9.801102586753586,0.8016999414883068,Chae Campbell,UCLA,5000.0
31085,FX,9.85563951548781,0.6907092803501199,Chae Campbell,UCLA,5000.0
31085,UB,9.754695035509549,0.8016999414883068,Chae Campbell,UCLA,3000.0
31085,VT,9.839381095661878,0.7502966790414628,Chae Campbell,UCLA,5000.0
31086,UB,9.820724566498473,0.8016999414883068,Frida Esparza,UCLA,6250.0
31087,BB,9.784708544067195,0.8016999414883068,Brooklyn Moors,UCLA,4000.0
31087,FX,9.888079295346438,0.8016999414883068,Brooklyn Moors,UCLA,6250.0
31087,VT,9.81682783941947,0.8016999414883068,Brooklyn Moors,UCLA,3000.0
31089,FX,9.83669360598915,0.7502966790414628,Jaylene Gilstrap,Utah,5000.0
31101,BB,9.75118062209611,0.7502966790414628,Skylar Killough-Wilhelm,Kentucky,4000.0
31101,FX,9.802982167498254,0.7502966790414628,Skylar Killough-Wilhelm,Kentucky,1000.0
31101,UB,9.802400692116136,0.7502966790414628,Skylar Killough-Wilhelm,Kentucky,4000.0
31101,VT,9.83608355649529,0.6907092803501199,Skylar Killough-Wilhelm,Kentucky,4000.0
31103,BB,9.820888039805734,0.7502966790414628,Taylor Russon,Washington,4000.0
31103,FX,9.76178595797047,0.7502966790414628,Taylor Russon,Washington,1000.0
31103,UB,9.779573906370171,0.7502966790414628,Taylor Russon,Washington,4000.0
31104,BB,9.737722650889028,0.7502966790414628,Lauren Thomas,Iowa State,3000.0
31104,UB,9.713851401597278,0.7502966790414628,Lauren Thomas,Iowa State,1000.0
31245,BB,9.768394383446438,0.6907092803501199,Corinne Bunagan,Alabama,1000.0
31245,VT,9.820131705483629,0.7502966790414628,Corinne Bunagan,Alabama,2000.0
31245,VT,9.826060320328832,0.7502966790414628,Corinne Bunagan,Alabama,2000.0
31247,BB,9.801380904635138,0.7502966790414628,Lilly Hudson,Alabama,1000.0
31247,BB,9.782773807656197,0.7502966790414628,Lilly Hudson,Alabama,1000.0
31247,FX,9.873156595595187,0.7502966790414628,Lilly Hudson,Alabama,6250.0
31247,FX,9.878247778244958,0.7502966790414628,Lilly Hudson,Alabama,6250.0
31247,UB,9.77194518912825,0.7502966790414628,Lilly Hudson,Alabama,4000.0
31247,UB,9.772755678565824,0.7502966790414628,Lilly Hudson,Alabama,4000.0
31247,VT,9.838849419547406,0.7502966790414628,Lilly Hudson,Alabama,5000.0
31247,VT,9.841682819228765,0.7502966790414628,Lilly Hudson,Alabama,5000.0
31248,VT,9.801663163563315,0.7502966790414628,Jordyn Paradise,Alabama,3000.0
31248,VT,9.803195714216095,0.7502966790414628,Jordyn Paradise,Alabama,3000.0
31253,BB,9.75347162891889,0.8016999414883068,Alysen Fears,Arizona,2000.0
31253,FX,9.787911778354754,0.8016999414883068,Alysen Fears,Arizona,2000.0
31253,UB,9.779002839629353,0.8016999414883068,Alysen Fears,Arizona,5000.0
31253,VT,9.78974831195125,0.8016999414883068,Alysen Fears,Arizona,3000.0
31254,FX,9.766854055388338,0.8016999414883068,Elizabeth Larusso,Arizona,2000.0
31254,VT,9.781422713405664,0.8016999414883068,Elizabeth Larusso,Arizona,2000.0
31255,BB,9.766350339866632,0.8016999414883068,Emily Mueller,Arizona,4000.0
31255,FX,9.82187638745986,0.8016999414883068,Emily Mueller,Arizona,3000.0
31255,UB,9.74006030184814,0.8016999414883068,Emily Mueller,Arizona,2000.0
31255,VT,9.749835778244371,0.8016999414883068,Emily Mueller,Arizona,2000.0
31258,BB,9.764140779957913,0.6907092803501199,Cami Weaver,Arkansas,3000.0
31258,VT,9.816636196218319,0.7502966790414628,Cami Weaver,Arkansas,4000.0
31259,FX,9.843974860866922,0.7502966790414628,Frankie Price,Arkansas,6250.0
31259,VT,9.80896616559431,0.6907092803501199,Frankie Price,Arkansas,2000.0
31260,BB,9.790081983241068,0.7502966790414628,Kalyxta Gamiao,Arkansas,4000.0
31260,FX,9.80866964156331,0.7502966790414628,Kalyxta Gamiao,Arkansas,3000.0
31262,FX,9.851778626374294,0.7502966790414628,Maddie Jones,Arkansas,4000.0
31262,UB,9.799832888101797,0.7502966790414628,Maddie Jones,Arkansas,4000.0
31265,BB,9.816449130327396,0.7502966790414628,Sophia Groth,Auburn,4000.0
31265,FX,9.861394637135625,0.7502966790414628,Sophia Groth,Auburn,5000.0
31265,UB,9.78082360543582,0.6907092803501199,Sophia Groth,Auburn,3000.0
31266,VT,9.809877960634857,0.8016999414883068,Sara Hubbard,Auburn,4000.0
31292,BB,9.78016157832211,0.6907092803501199,Ella Cesario,California,3000.0
31292,FX,9.835458529841015,0.6907092803501199,Ella Cesario,California,5000.0
31292,UB,9.792789225539517,0.6907092803501199,Ella Cesario,California,4000.0
