GymnastID,HomeAway,Week,Date,MeetID,Event,Score
31885,H,2,2026-01-11,2026-01-11_Fisk,AA,
31885,A,3,2026-01-16,2026-01-16_BYU,AA,
31885,A,3,2026-01-18,2026-01-18_Arkansas,AA,
32703,A,2,2026-01-09,2026-01-09_Air Force,AA,
32703,H,2,2026-01-11,2026-01-11_Fisk,AA,
32703,A,3,2026-01-16,2026-01-16_BYU,AA,
32703,A,3,2026-01-18,2026-01-18_Arkansas,AA,
31887,A,2,2026-01-09,2026-01-09_Air Force,AA,
31887,H,2,2026-01-11,2026-01-11_Fisk,AA,
31887,A,3,2026-01-16,2026-01-16_BYU,AA,
31887,A,3,2026-01-18,2026-01-18_Arkansas,AA,
33831,A,2,2026-01-09,2026-01-09_Air Force,AA,
33831,H,2,2026-01-11,2026-01-11_Fisk,AA,
33831,A,3,2026-01-16,2026-01-16_BYU,AA,
33831,A,3,2026-01-18,2026-01-18_Arkansas,AA,
32705,A,2,2026-01-09,2026-01-09_Air Force,AA,38.15
32705,H,2,2026-01-11,2026-01-11_Fisk,AA,36.55
32705,A,3,2026-01-16,2026-01-16_BYU,AA,37.075
32705,A,3,2026-01-18,2026-01-18_Arkansas,AA,38.225
32901,A,2,2026-01-09,2026-01-09_Air Force,AA,
32901,H,2,2026-01-11,2026-01-11_Fisk,AA,
32901,A,3,2026-01-16,2026-01-16_BYU,AA,
32901,A,3,2026-01-18,2026-01-18_Arkansas,AA,
32412,H,3,2026-01-16,2026-01-16_Florida,AA,
32994,H,2,2026-01-09,2026-01-09_Florida,AA,
32994,H,3,2026-01-16,2026-01-16_Florida,AA,
33509,H,2,2026-01-09,2026-01-09_Florida,AA,
33509,H,3,2026-01-16,2026-01-16_Florida,AA,
33385,H,2,2026-01-09,2026-01-09_Florida,AA,
33385,H,3,2026-01-16,2026-01-16_Florida,AA,
32996,H,2,2026-01-09,2026-01-09_Florida,AA,
32996,H,3,2026-01-16,2026-01-16_Florida,AA,
32997,H,2,2026-01-09,2026-01-09_Florida,AA,
32997,H,3,2026-01-16,2026-01-16_Florida,AA,
32414,H,3,2026-01-16,2026-01-16_Florida,AA,
