Event,homeaway_factor,total_weight,within_var
BB,0.015049996861569766,7593.65656389148,0.01784035420077185
FX,0.027581665427774932,7579.447702519496,0.021567880382018328
UB,0.01952872222705535,7620.1312256030515,0.026791525464294013
VT,0.0066983875564312996,7585.572487284123,0.005495977929161535
AA,0.06885877207283135,30378.80797929815,0.07169573797624573
