Player Name,Year,Team,Event,Price
Autumn Reingold,Freshman,Georgia,AA,1500
Autumn Schmidt,Sophomore,Gustavus Adolphus,AA,1500
Ava Banks,Freshman,Illinois,AA,1500
Ava Callahan,Freshman,UCLA,AA,1500
Ava Cash,Freshman,Penn State,AA,1500
Ava East,Sophomore,San Jose State,AA,1500
Ava Harper,Freshman,Towson,AA,1500
Ava Hooten,Freshman,Pennsylvania,AA,1500
Ava Jackson,Freshman,Ohio State,AA,1500
Ava Johnson,Sophomore,San Jose State,AA,1500
Ava Jordan,Junior,Michigan,AA,1500
Ava Jorgensen,Junior,BYU,AA,4000
Ava Mabanta,Sophomore,Denver,AA,1500
Ava Molina,Junior,Ball State,AA,1500
Ava Myers,Sophomore,NC State,AA,1500
Ava Piedrahita,Senior,Penn State,AA,1500
Ava Schenck-Davis,Sophomore,Cornell,AA,1500
Ava Siegfeldt,Senior,Oklahoma,AA,1500
Ava Sorrento,Senior,Stanford,AA,1500
Ava Stewart,Sophomore,Minnesota,AA,1500
Ava Thurston,Freshman,Ball State,AA,1500
Ava Walters,Sophomore,Hamline,AA,1500
Ava Wellmeier,Sophomore,Central Michigan,AA,1500
Avah Bootz,Fifth Year,Central Michigan,AA,1500
Avah Reichow,Sophomore,UC Davis,AA,1500
Avalon Campbell,Freshman,Arkansas,AA,1500
Avery Bibbey,Senior,Utah State,AA,1500
Avery Byun,Junior,Cornell,AA,1500
Avery Chambers,Senior,Iowa,AA,1500
Avery Compson,Senior,Kent State,AA,1500
Avery Hitchcock,Junior,Hamline,AA,1500
Avery Kantor,Sophomore,Ball State,AA,1500
Avery King,Freshman,Arkansas,AA,1500
Avery Marshall,Sophomore,UC Davis,AA,1500
Avery Moll,Freshman,Georgia,AA,1500
Avery Neff,Sophomore,Utah,AA,7500
Avery Tillmanns,Junior,Alaska,AA,1500
Avery Walters,Sophomore,Brown,AA,1500
Ayla Acevedo,Sophomore,Missouri,AA,1500
Ayumi Oshiro,Junior,UC Davis,AA,1500
Azaraya Ra-Akbar,Freshman,Alabama,AA,4000
Bailey Bourgeois,Junior,Texas Woman's,AA,1500
Bailey Stroud,Freshman,Utah,AA,1500
Bailey Upton,Sophomore,Texas Woman's,AA,1500
Baylie Belman,Freshman,Ohio State,AA,1500
Becca Mitchell,Freshman,Alaska,AA,1500
Bella Misiura,Sophomore,Penn State,AA,1500
Bella OBryant,Sophomore,NC State,AA,1500
Bella Richardson,Freshman,Hamline,AA,1500
Berlin Hall,Freshman,Southern Utah,AA,1500
Blake Pascal,Fifth Year,Boise State,AA,1500
Blakely Roten,Freshman,Oklahoma,AA,1500
Bradley Burton,Freshman,Arkansas,AA,1500
Brandi Kikuno,Junior,California,AA,1500
Brantley Lucas,Senior,Boise State,AA,1500
Breanna Ford,Freshman,Western Michigan,AA,1500
Breanna Varano,Freshman,Temple,AA,1500
Breeann Spain,Senior,Alaska,AA,1500
Brianna Baechle,Freshman,San Jose State,AA,1500
Brianna Lucas,Sophomore,Eastern Michigan,AA,1500
Brianna Taurek,Sophomore,California,AA,1500
Bridget Kemp,Sophomore,Boise State,AA,1500
Brie Clark,Senior,Clemson,AA,1500
Brinlee Christensen,Junior,Southern Utah,AA,1500
Brisa Carraro,Junior,LIU,AA,1500
Brissa Portillo,Sophomore,Towson,AA,1500
Bronwyn Hoffman,Sophomore,UCLA,AA,1500
Brooke Boggess,Freshman,Michigan State,AA,1500
Brooke Burkhart,Fifth Year,LIU,AA,1500
Brooke Donabedian,Fifth Year,Temple,AA,1500
Brooke Ferrari,Senior,Texas Woman's,AA,1500
Brooke Gelesko,Junior,Western Michigan,AA,1500
Brooke Gleichowski,Sophomore,Georgia,AA,1500
Brooke Irwin,Senior,West Virginia,AA,1500
Brooke Izzo,Junior,George Washington,AA,1500
Brooke Maycroft,Junior,Eastern Michigan,AA,1500
Brooke Pierson,Freshman,Georgia,AA,1500
Brooke Reardon,Senior,Hamline,AA,1500
Brooklyn Rowray,Senior,Minnesota,AA,1500
Bryce Kupbens,Freshman,Missouri,AA,1500
Brylea Johnson,Freshman,Utah State,AA,1500
Bryn Bartman,Sophomore,Auburn,AA,1500
Brynlee Andersen-Broekman,Junior,BYU,AA,1500
Brynn Torry,Freshman,Auburn,AA,1500
CJ Keuneke,Sophomore,California,AA,1500
CaMarah Williams,Freshman,Georgia,AA,1500
Cadence Gaumont,Freshman,Sacramento State,AA,1500
Cadence Gormley,Junior,Kentucky,AA,1500
Cady Chiu,Sophomore,UC Davis,AA,1500
Cady Duplissis,Sophomore,Michigan State,AA,1500
Cailey Price,Junior,Hamline,AA,1500
Caitlin Caserta,Sophomore,Illinois State,AA,1500
Caitlin McWilliams,Senior,Washington,AA,1500
Caitlin Smith,Junior,Oklahoma,AA,1500
Callie Gardner,Sophomore,Kentucky,AA,1500
Callie Gardner,Sophomore,Kentucky,AA,1500
Callie Kauffman,Freshman,Illinois,AA,1500
Cally Swaney,Senior,Arkansas,AA,1500
Cameron Smith,Sophomore,Ohio State,AA,1500
Cami Weaver,Senior,Arkansas,AA,1500
Cami Whitaker,Senior,Cornell,AA,1500
Camie Winger,Junior,Utah,AA,1500
Camille Lund Rasmussen,Sophomore,LIU,AA,1500
Campbell Earley,Junior,Rutgers,AA,1500
Camryn Chiu,Freshman,Pitt,AA,1500
Camryn Flaherty,Sophomore,Ithaca,AA,1500
Camryn Richardson,Sophomore,Oregon State,AA,1500
Camryn Rueda,Junior,North Carolina,AA,1500
Cara Wong,Sophomore,Gustavus Adolphus,AA,2000
Carilia Martinez,Junior,Southern Utah,AA,1500
Carissa Clay,Fifth Year,UCLA,AA,1500
Carla Ferzoco,Junior,Pitt,AA,1500
Carlee Nelson,Senior,West Virginia,AA,1500
Carley Stalder,Freshman,Ball State,AA,1500
Carly Banta,Freshman,Hamline,AA,1500
Carly Bauman,Fifth Year,Michigan,AA,1500
Carly Buell,Junior,Boise State,AA,1500
Carly Busch,Sophomore,Kentucky,AA,1500
Carly Kliewer,Sophomore,LIU,AA,1500
Carly Oniki,Senior,Pennsylvania,AA,1500
Carmella Calafati,Junior,Towson,AA,1500
Carmen Riley,Freshman,Arizona,AA,1500
Caroline Bowns,Junior,Texas Woman's,AA,1500
Caroline Guptill,Freshman,Hamline,AA,1500
Caroline Lichtman,Senior,Arizona State,AA,1500
Caroline Volk,Sophomore,NC State,AA,1500
Caroline Walker,Freshman,Air Force,AA,1500
Casey Brown,Senior,California,AA,1500
Casey Mooney,Freshman,Western Michigan,AA,1500
Cassie Lee,Sophomore,Iowa,AA,1500
Catelyn Zack,Senior,Hamline,AA,1500
Catherine O'Rourke,Senior,George Washington,AA,1500
Cecilia Athie,Freshman,Gustavus Adolphus,AA,1500
Cecilia Cooley,Sophomore,Denver,AA,5000
Cecily Rizo,Junior,Kentucky,AA,4000
Celia Trotter,Junior,Towson,AA,1500
Charley Laufer,Freshman,Utah State,AA,1500
Charlie Behner,Senior,Kent State,AA,1500
Charlotte Booth,Freshman,Auburn,AA,1500
Charlotte Gray,Freshman,Washington,AA,1500
Charlotte Ritchey,Freshman,Maryland,AA,1500
Charniya Brown,Senior,Bowling Green,AA,1500
Chase Brock,Fifth Year,LSU,AA,1500
Chayse Williams,Sophomore,Towson,AA,1500
Chelsea Boyer,Junior,Air Force,AA,1500
Chelsea Hallinan,Junior,Washington,AA,1500
Chelsea Southam,Senior,Utah State,AA,1500
Chelsey Dennis,Junior,Maryland,AA,1500
Chelsey Dennis,Junior,Maryland,AA,1500
Chesney Bennett,Sophomore,Kentucky,AA,1500
Chiara Andrew,Freshman,BYU,AA,1500
Chloe Cho,Sophomore,Illinois,AA,5000
Chloe Cohen,Junior,Sacramento State,AA,1500
Chloe Frank,Senior,San Jose State,AA,1500
Chloe Gann,Freshman,UC Davis,AA,1500
Chloe Hammond,Junior,Iowa State,AA,1500
Chloe LaCoursiere,Junior,Alabama,AA,5000
Chloee Hoke,Junior,BYU,AA,1500
Ciena Alipio,Senior,UCLA,AA,1500
Ciniah Rosby,Junior,Fisk,AA,1500
Claire Dean,Senior,Stanford,AA,1500
Claire Stippich,Senior,North Carolina,AA,1500
Clara Gilles,Freshman,Hamline,AA,1500
Clara Hong,Senior,Towson,AA,1500
Clara Jones,Freshman,Cornell,AA,1500
Clara Raposo,Sophomore,Utah,AA,1500
Clara Wallace,Junior,Air Force,AA,1500
Claudia Lessig,Junior,Alaska,AA,2000
Cleante Theoret,Sophomore,New Hampshire,AA,1500
Corey Foster,Senior,Ithaca,AA,1500
Corinne Bunagan,Fifth Year,Alabama,AA,1500
Courtney Blackson,Fifth Year,LSU,AA,1500
Courtney McCann,Junior,Ohio State,AA,1500
Courtney Woods,Senior,Illinois State,AA,1500
Creslyn Brose,Junior,Kentucky,AA,1500
Csenge Bacskay,Senior,Georgia,AA,1500
Dahlia Jhaveri,Sophomore,Cornell,AA,1500
Daisy Bowles,Freshman,Iowa,AA,1500
Daisy Fallon,Sophomore,Brown,AA,1500
Daisy Stephenson,Freshman,BYU,AA,1500
Dakota Essenpries,Junior,Missouri,AA,1500
Danae Fletcher,Fifth Year,Oklahoma,AA,1500
Dani Fuertez,Junior,Kent State,AA,1500
Dani Latronica,Sophomore,Penn State,AA,1500
Danie Ferris,Junior,Florida,AA,1500
Danyella Holmes,Junior,LIU,AA,1500
Darbi Simcox,Freshman,Pitt,AA,1500
Dawsyn Sallee,Sophomore,Northern Illinois,AA,1500
Deana Sheremeta,Senior,George Washington,AA,2000
Deb Silva,Sophomore,BYU,AA,1500
Deiah Moody,Fifth Year,Washington,AA,1500
Delaney Adrian,Sophomore,Rutgers,AA,1500
Delaney DeHaan,Junior,George Washington,AA,1500
Delaney McMahon,Junior,Ball State,AA,1500
Delaney Reeves,Sophomore,Boise State,AA,1500
Delanie Kelly,Freshman,Arizona State,AA,1500
Delaynee Rodriguez,Junior,Kentucky,AA,5000
Derin Tanriyasukur,Freshman,Alabama,AA,1500
Desiree Abron,Freshman,Ithaca,AA,1500
Destiny Denning,Junior,Illinois,AA,1500
Devyn Robinson,Freshman,UC Davis,AA,1500
Devyn Valuch,Junior,San Jose State,AA,1500
Donna Uhlenberg,Sophomore,Rutgers,AA,1500
Drake White,Freshman,Northern Illinois,AA,1500
Dylan Shields,Freshman,Air Force,AA,1500
Eden King,Sophomore,Illinois,AA,1500
Eden Stippick,Freshman,LIU,AA,1500
Eden Webster,Sophomore,West Virginia,AA,1500
Eilyn Doe,Freshman,Pennsylvania,AA,1500
Eleanor Wyly,Sophomore,UC Davis,AA,1500
Elena Bailey,Fifth Year,Hamline,AA,1500
Elena Brian,Freshman,Washington,AA,1500
Elise Ritzenthaler,Sophomore,Eastern Michigan,AA,1500
Elise Tisler,Senior,Missouri,AA,1500
Elizabeth Blessey,Sophomore,Oklahoma,AA,1500
Elizabeth Cesarone,Fifth Year,Pitt,AA,1500
Elizabeth Gantner,Junior,Utah,AA,1500
Elizabeth LaRusso,Senior,Arizona,AA,1500
Elizabeth Lassila,Sophomore,Air Force,AA,1500
Elizabeth Leary,Sophomore,Penn State,AA,5000
Elizabeth Strohecker,Freshman,NC State,AA,1500
Ella Cesario,Fifth Year,Clemson,AA,5000
Ella Fox,Freshman,Cornell,AA,1500
Ella Murphy,Freshman,Oklahoma,AA,1500
Ella Nash,Senior,Gustavus Adolphus,AA,1500
Ella Power,Junior,San Jose State,AA,1500
Ella Roberts,Freshman,Iowa State,AA,1500
Ella Schell,Junior,Iowa State,AA,1500
Ella Zirbes,Junior,Utah,AA,1500
Elle Beaufait,Senior,Michigan State,AA,1500
Elle Bragga,Freshman,Arizona,AA,1500
Elle Hadrick,Junior,NC State,AA,1500
Elle Mueller,Sophomore,Oklahoma,AA,1500
Ellery Gilmer,Junior,Greenville,AA,1500
Ellery Werner,Senior,Northern Illinois,AA,1500
Elli Schnieders,Sophomore,Greenville,AA,1500
Ellie Ermisch,Freshman,BYU,AA,1500
Ellie Monahan,Sophomore,Penn State,AA,1500
Ellie Thomson,Senior,Southern Utah,AA,1500
Ellie Topchishvili,Freshman,Kentucky,AA,1500
Ellie Weaver,Senior,Oregon State,AA,1500
Elliot Bringhurst,Junior,Southern Utah,AA,1500
Elliot Goldsmith,Junior,Rutgers,AA,1500
Ellorie Cane,Sophomore,LIU,AA,1500
Elly Eenhuis,Sophomore,Texas Woman's,AA,1500
Elly King,Junior,North Carolina,AA,1500
Elyse Wenner,Freshman,LSU,AA,1500
Emalee Frost,Senior,Nebraska,AA,1500
Emerson Fisk,Freshman,NC State,AA,1500
Emerson Smith,Sophomore,West Virginia,AA,1500
Emili Horike,Freshman,Ithaca,AA,1500
Emilie Chandler,Freshman,BYU,AA,1500
Emily Baradic,Freshman,Cortland State,AA,1500
Emily Countryman,Freshman,Sacramento State,AA,1500
Emily DeFrees,Freshman,Maryland,AA,1500
Emily Erb,Senior,Iowa,AA,1500
Emily Ford,Junior,Brown,AA,1500
Emily Gianfrancesco,Sophomore,Bowling Green,AA,1500
Emily Innes,Senior,LSU,AA,1500
Emily Joyce,Senior,Cornell,AA,1500
Emily Kobusky,Senior,Ithaca,AA,1500
Emily Leese,Fifth Year,Rutgers,AA,1500
Emily Todd,Sophomore,Pitt,AA,1500
Emma Brannon,Sophomore,Greenville,AA,1500
Emma Duerre,Freshman,Towson,AA,1500
Emma Garner,Freshman,George Washington,AA,1500
Emma Grace Boyd,Junior,Auburn,AA,1500
Emma Lehan,Freshman,Air Force,AA,1500
Emma Malewski,Freshman,Clemson,AA,1500
Emma Mason,Sophomore,Georgia,AA,1500
Emma Masse,Senior,Kent State,AA,1500
Emma Misenheimer,Junior,Michigan State,AA,1500
Emma Nipper,Sophomore,Southern Utah,AA,1500
Emma Reathaford,Freshman,Temple,AA,1500
Emma Schrady,Senior,Washington,AA,1500
Emma Slevin,Junior,Minnesota,AA,1500
Emma Wehry,Junior,Auburn,AA,1500
Emma Witterstaetter,Junior,Hamline,AA,1500
Erin McDermott,Freshman,Air Force,AA,1500
Eryn Williams,Senior,Georgia,AA,1500
Estee Goltsman,Sophomore,Western Michigan,AA,1500
Eva Volpe,Junior,Iowa,AA,1500
Eve Jackson,Senior,Clemson,AA,1500
Evelyn DeYoung,Freshman,Washington,AA,1500
Faith Lerro,Fifth Year,Pitt,AA,1500
Faith Torrez,Senior,Oklahoma,AA,1500
Farah Lipetz,Senior,Michigan,AA,1500
Faye Dubin,Junior,Bowling Green,AA,1500
Faye Jones,Junior,Greenville,AA,1500
Felicia Poblete,Senior,Towson,AA,1500
Finley Weldon,Freshman,Iowa State,AA,1500
Francesca Caso,Senior,Oregon State,AA,1500
Frankie Price,Senior,Arkansas,AA,1500
Frederique Sgarbossa,Sophomore,Iowa State,AA,1500
Gabby Disidore,Junior,Florida,AA,1500
Gabby Espinoza,Sophomore,Kent State,AA,1500
Gabby Gladieux,Senior,Alabama,AA,5000
Gabby Ladanyi,Junior,Alabama,AA,1500
Gabby Linden,Sophomore,Temple,AA,1500
Gabby Mautner,Sophomore,Brown,AA,1500
Gabby Riley,Junior,Kent State,AA,1500
Gabby Ruseva,Freshman,Texas Woman's,AA,1500
Gabby Van Frayen,Freshman,Kentucky,AA,1500
Gabi Ortiz,Junior,Michigan State,AA,1500
Gabriella Hartley,Senior,Air Force,AA,2000
Gabrielle Dildy,Senior,Rutgers,AA,4000
Gabrielle Gauger,Freshman,Michigan,AA,1500
Gabrielle Johnson,Junior,Central Michigan,AA,1500
Gaby Alvarez,Freshman,Iowa State,AA,1500
Genae Daniel,Junior,Eastern Michigan,AA,1500
Genesis PeBenito,Freshman,San Jose State,AA,1500
Georgie Slack,Freshman,Eastern Michigan,AA,1500
Gianna Gerdes,Fifth Year,Minnesota,AA,4000
Gianna Martoccia,Sophomore,Brown,AA,1500
Gianna Martyna,Senior,Air Force,AA,1500
Gianna Masella,Senior,Iowa,AA,1500
Gianna Mirigliano,Senior,Cortland State,AA,1500
Gianna Ruffing,Junior,Maryland,AA,2000
Gianna Scivetti,Freshman,Ithaca,AA,1500
Gianna Silva,Sophomore,Temple,AA,1500
Giavanna Tatone,Freshman,Oregon State,AA,1500
Ginger Richards,Junior,Rutgers,AA,1500
Giulianna Fiorillo,Sophomore,Oregon State,AA,1500
Grace Anne Davis,Fifth Year,Missouri,AA,1500
Grace Drexler,Sophomore,Arkansas,AA,1500
Grace Knurek,Junior,Kent State,AA,1500
Grace LaCrosse,Junior,Clemson,AA,1500
Grace McLean,Freshman,Cornell,AA,1500
Grace Murray,Senior,Ithaca,AA,1500
Grace Suchecki,Sophomore,Ball State,AA,1500
Grace Walker,Junior,Ohio State,AA,1500
Gracie Long,Sophomore,BYU,AA,1500
Gwen Fink,Senior,North Carolina,AA,4000
Gwen Ockerbloom,Junior,New Hampshire,AA,1500
Gwendelyn Cantu,Junior,Eastern Michigan,AA,1500
Hadassah Diggs,Freshman,Fisk,AA,1500
Hailee Bowen,Freshman,Nebraska,AA,1500
Hailey Best,Sophomore,Temple,AA,1500
Hailey Henry,Freshman,Gustavus Adolphus,AA,1500
Hailey Klein,Junior,Arkansas,AA,2000
Hailey Santana,Sophomore,Air Force,AA,1500
Haleigh Welch,Sophomore,LIU,AA,1500
Haley Fichiera,Freshman,Washington,AA,1500
Haley Mendoza,Freshman,West Virginia,AA,1500
Haley Mustari,Freshman,LSU,AA,1500
Haley Suzuki,Sophomore,George Washington,AA,1500
Haley Tyson,Fifth Year,Iowa,AA,1500
Haley Zampella,Sophomore,Northern Illinois,AA,1500
Hali Seligman,Junior,Ithaca,AA,1500
Halle Braaflat,Sophomore,Arizona State,AA,1500
Halle Gregoire,Junior,Arizona State,AA,1500
Hallie Copperwheat,Senior,Pitt,AA,1500
Hana Miller,Junior,Ithaca,AA,1500
Hanna Castillo,Senior,Iowa,AA,1500
Hannah Aoki,Freshman,North Carolina,AA,1500
Hannah Boyd,Sophomore,Alaska,AA,1500
Hannah Clark,Sophomore,Clemson,AA,1500
Hannah Hagle,Senior,Auburn,AA,1500
Hannah Horton,Junior,Missouri,AA,1500
Hannah Lemon,Senior,Hamline,AA,1500
Hannah Milton,Junior,Western Michigan,AA,1500
Hannah Rojo,Freshman,Alaska,AA,1500
Hannah Scheible,Junior,Oklahoma,AA,1500
Hannah Sitzman,Junior,Sacramento State,AA,1500
Hannah Stallings,Senior,Temple,AA,1500
Hannah Weklar,Sophomore,Temple,AA,1500
Harley Tomlin,Sophomore,Georgia,AA,1500
Harmony Haro,Freshman,Temple,AA,1500
Harmony Webster,Senior,Rutgers,AA,1500
Hattie Wright,Junior,Utah State,AA,1500
Hayden Seymour,Freshman,Illinois,AA,1500
Haylee Hardin,Sophomore,Iowa State,AA,1500
Haylen Zabrowski,Junior,Michigan,AA,1500
Hayli Westerlind,Freshman,Missouri,AA,1500
Hazel Smith,Freshman,BYU,AA,1500
Heather Parker,Sophomore,Central Michigan,AA,1500
Heidi Schultz,Senior,Kent State,AA,1500
Holly Snyder,Junior,Georgia,AA,1500
Hurley Snow,Sophomore,Oklahoma,AA,1500
Isabel Biro,Freshman,Michigan State,AA,1500
Isabel Sikon,Junior,Nebraska,AA,4000
Isabella Ciolfi,Freshman,Western Michigan,AA,1500
Isabella DeCroo,Fifth Year,Towson,AA,1500
Isabella Delarosa,Freshman,Boise State,AA,1500
Isabella Edralin,Freshman,Kentucky,AA,1500
Isabella Feltman,Sophomore,Greenville,AA,1500
Isabella Hoskins,Sophomore,Air Force,AA,1500
Isabella Kowan,Senior,Arizona State,AA,1500
Isabella Marques,Sophomore,Kent State,AA,1500
Isabella Minervini,Junior,Towson,AA,2000
Isabella Nguyen,Freshman,Minnesota,AA,1500
