GymnastID,HomeAway,Week,Date,MeetID,Event,Score,homeaway_factor,score_adj
33590,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.775,0.0266603053435114,9.775
31902,A,2,2026-01-10,2026-01-10_Iowa,UB,9.875,0.0266603053435114,9.875
31902,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.775,0.0266603053435114,9.775
31954,A,2,2026-01-10,2026-01-10_Iowa,UB,9.925,0.0266603053435114,9.925
31954,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.85,0.0266603053435114,9.85
31955,A,2,2026-01-10,2026-01-10_Iowa,UB,9.125,0.0266603053435114,9.125
31955,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.225,0.0266603053435114,9.225
32472,A,2,2026-01-10,2026-01-10_Iowa,UB,9.875,0.0266603053435114,9.875
32472,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.8,0.0266603053435114,9.8
31956,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.325,0.0266603053435114,9.325
33066,A,1,2026-01-02,2026-01-02_Utah,UB,9.675,0.0266603053435114,9.675
33066,H,2,2026-01-10,2026-01-10_Minnesota,UB,9.775,0.0266603053435114,9.748339694656488
33066,H,3,2026-01-17,2026-01-17_Minnesota,UB,9.775,0.0266603053435114,9.748339694656488
33593,A,1,2026-01-02,2026-01-02_Utah,UB,9.725,0.0266603053435114,9.725
33593,H,2,2026-01-10,2026-01-10_Minnesota,UB,9.8,0.0266603053435114,9.773339694656489
33593,H,3,2026-01-17,2026-01-17_Minnesota,UB,9.825,0.0266603053435114,9.798339694656487
32477,A,1,2026-01-02,2026-01-02_Utah,UB,9.85,0.0266603053435114,9.85
32477,H,2,2026-01-10,2026-01-10_Minnesota,UB,9.85,0.0266603053435114,9.823339694656488
32477,H,3,2026-01-17,2026-01-17_Minnesota,UB,9.925,0.0266603053435114,9.898339694656489
32478,H,3,2026-01-17,2026-01-17_Minnesota,UB,8.55,0.0266603053435114,8.523339694656489
33596,A,1,2026-01-02,2026-01-02_Utah,UB,9.55,0.0266603053435114,9.55
33596,H,2,2026-01-10,2026-01-10_Minnesota,UB,9.6,0.0266603053435114,9.573339694656488
33597,A,1,2026-01-02,2026-01-02_Utah,UB,9.775,0.0266603053435114,9.775
33597,H,2,2026-01-10,2026-01-10_Minnesota,UB,9.825,0.0266603053435114,9.798339694656487
33597,H,3,2026-01-17,2026-01-17_Minnesota,UB,9.825,0.0266603053435114,9.798339694656487
33599,A,1,2026-01-02,2026-01-02_Utah,UB,9.775,0.0266603053435114,9.775
33599,H,2,2026-01-10,2026-01-10_Minnesota,UB,9.775,0.0266603053435114,9.748339694656488
33599,H,3,2026-01-17,2026-01-17_Minnesota,UB,9.9,0.0266603053435114,9.873339694656488
33600,H,1,2026-01-04,2026-01-04_Missouri,UB,9.9,0.0266603053435114,9.873339694656488
33600,A,2,2026-01-10,2026-01-10_Iowa,UB,9.925,0.0266603053435114,9.925
33600,H,3,2026-01-16,2026-01-16_Missouri,UB,9.825,0.0266603053435114,9.798339694656487
31343,H,1,2026-01-04,2026-01-04_Missouri,UB,9.85,0.0266603053435114,9.823339694656488
31343,A,2,2026-01-10,2026-01-10_Iowa,UB,9.825,0.0266603053435114,9.825
31343,H,3,2026-01-16,2026-01-16_Missouri,UB,9.725,0.0266603053435114,9.698339694656488
32483,H,1,2026-01-04,2026-01-04_Missouri,UB,9.925,0.0266603053435114,9.898339694656489
32483,A,2,2026-01-10,2026-01-10_Iowa,UB,9.85,0.0266603053435114,9.85
32483,H,3,2026-01-16,2026-01-16_Missouri,UB,9.8,0.0266603053435114,9.773339694656489
33075,A,2,2026-01-10,2026-01-10_Iowa,UB,9.85,0.0266603053435114,9.85
33075,H,3,2026-01-16,2026-01-16_Missouri,UB,9.75,0.0266603053435114,9.723339694656488
31964,H,1,2026-01-04,2026-01-04_Missouri,UB,9.9,0.0266603053435114,9.873339694656488
31964,A,2,2026-01-10,2026-01-10_Iowa,UB,9.775,0.0266603053435114,9.775
31964,H,3,2026-01-16,2026-01-16_Missouri,UB,9.5,0.0266603053435114,9.473339694656488
32484,H,1,2026-01-04,2026-01-04_Missouri,UB,9.25,0.0266603053435114,9.223339694656488
31054,H,1,2026-01-04,2026-01-04_Missouri,UB,9.875,0.0266603053435114,9.848339694656488
31054,A,2,2026-01-10,2026-01-10_Iowa,UB,9.75,0.0266603053435114,9.75
31054,H,3,2026-01-16,2026-01-16_Missouri,UB,9.725,0.0266603053435114,9.698339694656488
32622,H,2,2026-01-10,2026-01-10_Nebraska,UB,9.725,0.0266603053435114,9.698339694656488
32622,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.75,0.0266603053435114,9.75
33607,H,2,2026-01-10,2026-01-10_Nebraska,UB,9.65,0.0266603053435114,9.623339694656488
33607,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.6,0.0266603053435114,9.6
32623,H,2,2026-01-10,2026-01-10_Nebraska,UB,9.8,0.0266603053435114,9.773339694656489
32623,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.85,0.0266603053435114,9.85
32125,H,2,2026-01-10,2026-01-10_Nebraska,UB,9.775,0.0266603053435114,9.748339694656488
32125,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.775,0.0266603053435114,9.775
33080,H,2,2026-01-10,2026-01-10_Nebraska,UB,9.8,0.0266603053435114,9.773339694656489
33080,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.875,0.0266603053435114,9.875
32625,H,2,2026-01-10,2026-01-10_Nebraska,UB,9.125,0.0266603053435114,9.098339694656488
32625,A,3,2026-01-17,2026-01-17_Eastern Michigan,UB,9.8,0.0266603053435114,9.8
