Team,Event,homeaway_factor,homeaway_factor_shrunk,total_weight
Air Force,BB,0.058962464541906255,0.044951224653712596,124.32710147317752
Alabama,BB,0.006860489211230232,0.007532488593372075,144.2700000492691
Alaska,BB,0.0,0.009692875537239489,72.3756967924016
Arizona,BB,0.03332738118468755,0.030191322168893305,143.33874728416598
Arizona State,BB,0.04565327098665415,0.04260024086571307,130.33396275899258
Arkansas,BB,0.037523221067459755,0.033466913065914004,142.55735035966563
Auburn,BB,0.0220482260040822,0.021538604315649162,139.95782607782476
BYU,BB,0.0,0.00545914316457371,139.72917674483537
Ball State,BB,0.03699846947220289,0.03328562903875594,128.04125239839527
Boise State,BB,0.0033378869248429674,0.00669647219587758,118.44328124450077
Bowling Green,BB,0.04143257958955477,0.02599558686723574,90.786162464986
Brown,BB,0.024191376313851556,0.020051142463296402,96.80724637681159
California,BB,0.0,0.003708498158678278,150.6097145213022
Central Michigan,BB,0.0,0.006525297504990606,85.28165617906997
Clemson,BB,0.0,0.008349019252242053,58.42720356698685
Cornell,BB,0.03786270542582692,0.032260445635013416,85.38819010198905
Cortland State,BB,0.03586820963783682,0.02016850839203291,70.05966810966812
Denver,BB,0.0,0.0033496992832519074,146.60271621203654
Eastern Michigan,BB,0.10450062339827919,0.07262611586719513,92.06193201363479
Fisk,BB,0.03568486974750893,0.015709515571762624,11.109811119679541
Florida,BB,0.025657731332628598,0.024869203007681535,146.08786990152723
George Washington,BB,0.0,0.00516727733435721,125.16734376734377
Georgia,BB,0.008499286597255934,0.009719774339864942,124.51334238860555
Greenville,BB,0.07277337559429466,0.021286200812509468,37.55952380952382
Gustavus Adolphus,BB,0.12459180199891987,0.047038854649099404,72.99221672720125
Hamline,BB,0.0,0.011912204283716067,69.73005997270702
Illinois,BB,0.030521198251060453,0.02639656648821985,137.48625297864896
Illinois State,BB,0.0,0.005082900052723185,122.31641062189844
Iowa,BB,0.0,0.0038257905377017173,133.72774920264402
Iowa State,BB,0.0,0.0057390150313832815,131.98660638579202
Kent State,BB,0.019353523367278913,0.01802171819192362,124.63250000853395
Kentucky,BB,0.012953531323980708,0.013406639091742712,133.3944767893576
LIU,BB,0.041160528505755585,0.03149556134357,92.16410779331495
LSU,BB,0.012989602388098579,0.013309049734646456,146.7677201261235
Maryland,BB,0.06713674374190448,0.05197517030425737,141.8001460330148
Michigan,BB,0.002217508803051508,0.0036555838473177216,134.21683389074693
Michigan State,BB,0.02675714403653072,0.02572068631374429,143.1607356487331
Minnesota,BB,0.0,0.0033183266658603737,136.59973425267543
Missouri,BB,0.0029759089075098973,0.004748802493104803,131.94239177489177
Nebraska,BB,0.009343860131446122,0.010886443132431842,133.74626647152223
New Hampshire,BB,0.007604940457189561,0.010842884635074091,107.29677065968089
North Carolina,BB,0.0,0.0027891122313654735,135.17342234552686
North Carolina State,BB,0.04014027143859417,0.035712765310082197,113.54948555615701
Northern Illinois,BB,0.0,0.0061363948308014,95.05645272601794
Ohio State,BB,0.0,0.0037104632224385006,143.58691776913466
Oklahoma,BB,0.0,0.002322116104615978,166.74133571272546
Oregon State,BB,0.03278414616778414,0.03070060767818669,137.03621870882742
Penn State,BB,0.006337196381881299,0.008833127861505675,134.28962930600107
Pennsylvania,BB,0.0,0.006163412516883293,82.45979886602903
Pittsburgh,BB,0.0,0.013179731505438878,25.828571428571426
Rutgers,BB,0.029499754906426163,0.028018011699871295,139.57263124734897
Sacramento State,BB,0.0537592912378213,0.04233778342995084,100.96766337527208
San Jose State,BB,0.011713677704358964,0.013249874280457001,88.50753801078345
Southern Utah,BB,0.06543575216243429,0.05561494967591672,142.6249949017391
Stanford,BB,0.037444551524750035,0.032524726301054935,123.76502386502386
Temple,BB,0.029688662919273804,0.023418056100476488,98.7082480321611
Texas Woman's,BB,0.03732428522577023,0.02615861968675134,122.3276874370992
Towson,BB,0.04864734002093552,0.0385635569261429,146.31878669499628
UC Davis,BB,0.0593427290148949,0.0521413629113628,90.8060669692938
UCLA,BB,0.021195419324789598,0.020577767471128574,140.27361024744832
Utah,BB,0.04698011352903823,0.0456285662804525,149.12892521003215
Utah State,BB,0.013190885514757594,0.013753171831918131,127.2197204067433
Washington,BB,0.00791310816792583,0.009714074517764702,137.7251630296387
West Virginia,BB,0.0,0.004764653924187788,135.42187064741245
Western Michigan,BB,0.07387397897583092,0.0511741376142756,88.78017599934434
Yale,BB,0.0,0.011318090083593173,23.066666666666663
Air Force,FX,0.0069635004184284,0.00894120814179801,123.8689493001278
Alabama,FX,0.028221620073777213,0.02820495477625361,142.52236966493052
Alaska,FX,0.0,0.017900050421737597,74.0500208855472
Arizona,FX,0.040887967764360364,0.04023378844043218,143.2971005946238
Arizona State,FX,0.0,0.0011252056317154271,130.85344246195248
Arkansas,FX,0.06371871683738879,0.06000870421195015,143.09533676533678
Auburn,FX,0.06681976471507292,0.06317397629006685,138.62331029185867
BYU,FX,0.022768167679603192,0.02306399850236636,138.44648684648683
Ball State,FX,0.029810293781744077,0.029632456233223643,128.27895104895106
Boise State,FX,0.031165451873323053,0.031030641903605823,116.52910365869856
Bowling Green,FX,0.0,0.009538552789743495,91.46827761018938
Brown,FX,0.0518436110281609,0.047809717748005395,95.5273120584266
California,FX,0.008331188073773572,0.009472158255631954,149.9536592202872
Central Michigan,FX,0.09149321283558719,0.08323197516202127,86.60711726466202
Clemson,FX,0.051631547371058566,0.0467137625784757,61.75821955821956
Cornell,FX,0.00012413709534211365,0.009972921874623845,88.18961883527099
Cortland State,FX,0.11133334918294233,0.08326785686417171,71.83833560884308
Denver,FX,0.058912940894289036,0.04582739166257627,146.46863738256926
Eastern Michigan,FX,0.023949660794849614,0.024488582281636397,91.7685488424619
Fisk,FX,0.0,0.02592343207510899,11.07968172776357
Florida,FX,0.0,0.0064504626289117704,145.8487101636718
George Washington,FX,0.06251874943823817,0.06105304326126177,124.53948401159354
Georgia,FX,0.05032567898883402,0.04904926561052557,124.45974684862557
Greenville,FX,0.0,0.013208217321795274,36.06300366300366
Gustavus Adolphus,FX,0.11021652320281777,0.08541045675107575,70.25755092860356
Hamline,FX,0.0754521108910967,0.05496837431884817,71.39190251612852
Illinois,FX,0.0,0.009142572359651234,140.25642851278852
Illinois State,FX,0.0,0.002947196992843751,126.23535661670526
Iowa,FX,0.03947478451006421,0.038617055342537135,129.3954084804085
Iowa State,FX,0.0015662224153391816,0.003705889017224847,132.09593718657413
Kent State,FX,0.0346647164693232,0.03438678272216835,123.15946055537145
Kentucky,FX,0.010952163989429496,0.012220483222415715,133.99358843979633
LIU,FX,0.03367745167904051,0.028808962766651014,91.85394703335879
LSU,FX,0.03477646495613911,0.034464188438106544,147.28800278325048
Maryland,FX,0.0,0.0019387604200855335,139.11959277691543
Michigan,FX,0.04555527079425342,0.045374302161671994,132.52646619230302
Michigan State,FX,0.020432151974810943,0.021011642459452806,143.69809046279633
Minnesota,FX,0.0,0.004829781062543243,137.1619446051025
Missouri,FX,0.020827631214129422,0.020931570902307458,132.3350476335259
Nebraska,FX,0.041956785526741994,0.0401550104084531,132.69549941314648
New Hampshire,FX,0.026591759646030357,0.026727742976282977,103.73370442018448
North Carolina,FX,0.0,0.0024748650083386593,134.62989118724414
North Carolina State,FX,0.04554172105185354,0.043278785799431466,112.5806599001721
Northern Illinois,FX,0.0,0.0038475959950460097,94.79019314019314
Ohio State,FX,0.025305112355555284,0.025457759778550318,140.84267292205584
Oklahoma,FX,0.01681853236079415,0.016884852342737892,166.5685549736331
Oregon State,FX,0.08252162053530508,0.06763783405167527,132.5928098022267
Penn State,FX,0.017453365732282667,0.01847475422508367,136.93256656413368
Pennsylvania,FX,0.0,0.004478105219462927,84.01133753501401
Pittsburgh,FX,0.05159846547314579,0.04102229916765637,26.06666666666667
Rutgers,FX,0.07303156285585793,0.06727499853894958,140.9509100095307
Sacramento State,FX,0.09260542119326172,0.08620257168811793,100.44472635207929
San Jose State,FX,0.0,0.00578564959915422,91.72837995337994
Southern Utah,FX,0.04937803754200189,0.04795575821107852,145.49347726347725
Stanford,FX,0.04788942432221804,0.04040672783176737,123.13207659596834
Temple,FX,0.13632924173621233,0.07469112354843076,96.07226825805772
Texas Woman's,FX,0.041523683260691766,0.04031182967981021,121.26060060872243
Towson,FX,0.05213916058378734,0.05086193675658983,146.00982186844254
UC Davis,FX,0.029562807150926466,0.029411229602776572,90.70754752493883
UCLA,FX,0.03865403897919264,0.03823273125077245,139.17608091068382
Utah,FX,0.0,0.0020176482263834263,146.32106899562464
Utah State,FX,0.0,0.0046208473409900495,124.55450438450438
