GymnastID,Event,Home_Percent_1,Home_Percent_2,Home_Percent_3,Score_1,Score_2,Score_3,homeaway_factor
31807,BB,,1.0,0.0,,9.796989233671612,9.65,0.0030107663283892
31810,BB,,1.0,0.0,,9.646989233671611,9.575,0.0030107663283892
31810,FX,,1.0,0.0,,9.883328340595497,9.725,0.0416716594045026
31810,VT,,1.0,0.0,,9.668641046113102,9.8,0.0063589538868983
31813,BB,,1.0,0.0,,9.82198923367161,9.85,0.0030107663283892
31813,FX,,1.0,0.0,,9.158328340595496,9.775,0.0416716594045026
31813,UB,,1.0,0.0,,9.073339694656488,9.0,0.0266603053435114
31815,AA,,1.0,0.0,,39.0222983150367,39.3,0.0777016849633016
31815,BB,,1.0,0.0,,9.671989233671612,9.775,0.0030107663283892
31815,FX,,1.0,0.0,,9.833328340595497,9.825,0.0416716594045026
31815,UB,,1.0,0.0,,9.748339694656488,9.875,0.0266603053435114
31815,VT,,1.0,0.0,,9.768641046113101,9.825,0.0063589538868983
31816,AA,,1.0,0.0,,39.1222983150367,38.875,0.0777016849633016
31816,BB,,1.0,0.0,,9.82198923367161,9.8,0.0030107663283892
31816,FX,,1.0,0.0,,9.908328340595496,9.7,0.0416716594045026
31816,UB,,1.0,0.0,,9.773339694656489,9.65,0.0266603053435114
31816,VT,,1.0,0.0,,9.618641046113101,9.725,0.0063589538868983
31817,BB,,1.0,0.0,,9.82198923367161,9.675,0.0030107663283892
31820,BB,,1.0,0.0,,9.07198923367161,9.75,0.0030107663283892
31820,FX,,1.0,0.0,,8.683328340595496,9.7,0.0416716594045026
31822,UB,,0.0,,,9.775,,0.0266603053435114
31823,FX,,,1.0,,,9.808328340595496,0.0416716594045026
31823,VT,,0.0,1.0,,9.9,9.9686410461131,0.0063589538868983
31827,BB,,1.0,1.0,,9.896989233671611,9.69698923367161,0.0030107663283892
31827,UB,,1.0,1.0,,9.798339694656487,9.723339694656488,0.0266603053435114
31828,FX,,1.0,,,9.533328340595496,,0.0416716594045026
31833,FX,,0.0,0.0,,9.475,9.8,0.0416716594045026
31834,UB,,0.0,0.0,,9.8,9.85,0.0266603053435114
31835,BB,,0.0,0.0,,9.75,9.725,0.0030107663283892
31835,VT,,0.0,0.0,,9.65,9.65,0.0063589538868983
31836,BB,,0.0,0.0,,9.75,9.6,0.0030107663283892
31837,BB,,0.0,0.0,,9.6,9.675,0.0030107663283892
31837,FX,,0.0,0.0,,9.675,8.75,0.0416716594045026
31839,BB,,1.0,1.0,,9.771989233671611,9.69698923367161,0.0030107663283892
31840,VT,,1.0,0.0,,8.8436410461131,9.725,0.0063589538868983
31842,FX,,1.0,0.0,,9.483328340595497,9.475,0.0416716594045026
31842,VT,,1.0,0.0,,9.6936410461131,9.675,0.0063589538868983
31845,FX,,0.0,1.0,,9.625,9.558328340595496,0.0416716594045026
31845,UB,,0.0,1.0,,9.85,9.123339694656488,0.0266603053435114
31846,FX,,1.0,,,9.808328340595496,,0.0416716594045026
31846,VT,,1.0,,,9.7186410461131,,0.0063589538868983
31847,VT,,1.0,,,9.768641046113101,,0.0063589538868983
31849,BB,,1.0,,,9.82198923367161,,0.0030107663283892
31849,FX,,1.0,,,9.733328340595497,,0.0416716594045026
31849,UB,,1.0,,,9.773339694656489,,0.0266603053435114
31855,FX,,0.5,1.0,,9.754164170297749,9.858328340595497,0.0416716594045026
31855,UB,,0.5,1.0,,9.799169847328244,9.873339694656488,0.0266603053435114
31855,VT,,0.5,1.0,,9.80932052305655,9.793641046113102,0.0063589538868983
31860,BB,0.0,0.0,,9.75,9.825,,0.0030107663283892
31860,UB,0.0,0.0,,9.85,9.75,,0.0266603053435114
31861,UB,0.0,0.0,,9.85,9.925,,0.0266603053435114
31861,VT,0.0,0.0,,9.65,9.775,,0.0063589538868983
31862,BB,,1.0,1.0,,9.84698923367161,9.921989233671612,0.0030107663283892
31862,FX,,1.0,1.0,,9.883328340595497,9.783328340595496,0.0416716594045026
31862,UB,,1.0,1.0,,9.823339694656488,9.873339694656488,0.0266603053435114
31863,AA,,0.0,1.0,,39.2,38.972298315036696,0.0777016849633016
31863,BB,,0.0,1.0,,9.625,9.59698923367161,0.0030107663283892
31863,FX,,0.0,1.0,,9.9,9.858328340595497,0.0416716594045026
31863,UB,,0.0,1.0,,9.925,9.823339694656488,0.0266603053435114
31863,VT,,0.0,1.0,,9.75,9.6936410461131,0.0063589538868983
31865,BB,,1.0,0.0,,9.046989233671612,9.7,0.0030107663283892
31867,FX,,1.0,0.0,,9.458328340595497,9.575,0.0416716594045026
31867,VT,,1.0,,,9.7186410461131,,0.0063589538868983
31869,BB,,,0.0,,,8.125,0.0030107663283892
31869,UB,,1.0,0.0,,9.698339694656488,9.7,0.0266603053435114
31870,FX,,1.0,0.0,,9.583328340595497,9.5,0.0416716594045026
31870,VT,,1.0,0.0,,9.8186410461131,9.7,0.0063589538868983
31871,FX,,1.0,,,9.833328340595497,,0.0416716594045026
31871,UB,,1.0,0.0,,9.823339694656488,9.775,0.0266603053435114
31871,VT,,1.0,,,9.8436410461131,,0.0063589538868983
31872,AA,,1.0,0.0,,38.6222983150367,39.175,0.0777016849633016
31872,BB,,1.0,0.0,,9.82198923367161,9.8,0.0030107663283892
31872,FX,,1.0,0.0,,9.933328340595496,9.925,0.0416716594045026
31872,UB,,1.0,0.0,,9.148339694656489,9.775,0.0266603053435114
31872,VT,,1.0,0.0,,9.7186410461131,9.675,0.0063589538868983
31875,FX,,0.0,1.0,,9.05,9.683328340595496,0.0416716594045026
31877,AA,,0.0,1.0,,38.775,38.7472983150367,0.0777016849633016
31877,BB,,0.0,1.0,,9.675,9.746989233671611,0.0030107663283892
31877,FX,,0.0,1.0,,9.6,9.758328340595497,0.0416716594045026
31877,UB,,0.0,1.0,,9.75,9.798339694656487,0.0266603053435114
31877,VT,,0.0,1.0,,9.75,9.4436410461131,0.0063589538868983
31881,BB,,,0.0,,,9.075,0.0030107663283892
31881,FX,,0.5,0.0,,9.241664170297748,9.25,0.0416716594045026
31881,UB,,0.5,0.0,,8.399169847328245,9.425,0.0266603053435114
31881,VT,,0.5,0.0,,9.234320523056551,9.3,0.0063589538868983
31882,FX,,0.5,0.0,,8.691664170297749,9.4375,0.0416716594045026
31885,BB,,0.5,0.0,,9.473494616835806,9.1375,0.0030107663283892
31885,FX,,0.5,0.0,,9.416664170297748,9.4875,0.0416716594045026
31886,AA,,0.0,1.0,,39.05,39.3972983150367,0.0777016849633016
31886,BB,,0.0,1.0,,9.45,9.921989233671612,0.0030107663283892
31886,FX,,0.0,1.0,,9.875,9.758328340595497,0.0416716594045026
31886,UB,,0.0,1.0,,9.85,9.823339694656488,0.0266603053435114
31886,VT,,0.0,1.0,,9.875,9.893641046113101,0.0063589538868983
31887,BB,,0.5,0.0,,9.623494616835805,9.725000000000001,0.0030107663283892
31887,FX,,0.5,0.0,,9.491664170297748,9.287500000000001,0.0416716594045026
31887,VT,,0.5,0.0,,9.49682052305655,9.6,0.0063589538868983
31895,BB,,0.0,1.0,,9.325,9.57198923367161,0.0030107663283892
31895,FX,,0.0,1.0,,8.8,9.583328340595497,0.0416716594045026
31898,FX,,0.0,1.0,,9.775,9.558328340595496,0.0416716594045026
31899,AA,,0.0,1.0,,39.025,38.7722983150367,0.0777016849633016
31899,BB,,0.0,1.0,,9.85,9.896989233671611,0.0030107663283892
31899,FX,,0.0,1.0,,9.825,9.733328340595497,0.0416716594045026
31899,UB,,0.0,1.0,,9.7,9.623339694656488,0.0266603053435114
31899,VT,,0.0,1.0,,9.65,9.518641046113101,0.0063589538868983
31902,UB,,0.0,0.0,,9.875,9.775,0.0266603053435114
31906,BB,,0.0,1.0,,9.75,9.871989233671611,0.0030107663283892
31906,UB,,0.0,1.0,,9.825,9.873339694656488,0.0266603053435114
31906,VT,,0.0,1.0,,9.85,9.8186410461131,0.0063589538868983
